result_type,model,surface,benchmark_or_pack,domain_or_task,runs,passed,pass_rate,available,wall_duration_ms,failure_class_or_modes,source_file,notes
operation_overall,gemma4:e4b,ollama_http,operations_first_pack_2026-06-07,all_operation_domains,13,1,0.0769,,35096.8,"{""json_parse_error"": 1, ""validator_failure"": 11}",C:\Users\Couch\Documents\Claude\Projects\Home of Claude - MSI Auto Project\orchestrator_contracts\local_model_operation_scores_2026-06-07.json,Strict one-trial operation fixture matrix; route only where validators pass.
operation_domain,gemma4:e4b,ollama_http,operations_first_pack_2026-06-07,compliance_policy,1,0,0.0,,32592.6,"{""validator_failure"": 1}",C:\Users\Couch\Documents\Claude\Projects\Home of Claude - MSI Auto Project\orchestrator_contracts\local_model_operation_scores_2026-06-07.json,Domain score from deterministic fixture validator.
operation_domain,gemma4:e4b,ollama_http,operations_first_pack_2026-06-07,computer_control_app_use,1,0,0.0,,24799.5,"{""validator_failure"": 1}",C:\Users\Couch\Documents\Claude\Projects\Home of Claude - MSI Auto Project\orchestrator_contracts\local_model_operation_scores_2026-06-07.json,Domain score from deterministic fixture validator.
operation_domain,gemma4:e4b,ollama_http,operations_first_pack_2026-06-07,conceptualization_strategy,1,0,0.0,,41898.3,"{""validator_failure"": 1}",C:\Users\Couch\Documents\Claude\Projects\Home of Claude - MSI Auto Project\orchestrator_contracts\local_model_operation_scores_2026-06-07.json,Domain score from deterministic fixture validator.
operation_domain,gemma4:e4b,ollama_http,operations_first_pack_2026-06-07,data_analytics_kpi_diagnostics,1,0,0.0,,22230.7,"{""validator_failure"": 1}",C:\Users\Couch\Documents\Claude\Projects\Home of Claude - MSI Auto Project\orchestrator_contracts\local_model_operation_scores_2026-06-07.json,Domain score from deterministic fixture validator.
operation_domain,gemma4:e4b,ollama_http,operations_first_pack_2026-06-07,financial_operations,1,0,0.0,,34810.3,"{""validator_failure"": 1}",C:\Users\Couch\Documents\Claude\Projects\Home of Claude - MSI Auto Project\orchestrator_contracts\local_model_operation_scores_2026-06-07.json,Domain score from deterministic fixture validator.
operation_domain,gemma4:e4b,ollama_http,operations_first_pack_2026-06-07,full_business_operations,1,0,0.0,,88008.1,"{""validator_failure"": 1}",C:\Users\Couch\Documents\Claude\Projects\Home of Claude - MSI Auto Project\orchestrator_contracts\local_model_operation_scores_2026-06-07.json,Domain score from deterministic fixture validator.
operation_domain,gemma4:e4b,ollama_http,operations_first_pack_2026-06-07,market_forecasting_backtest,1,0,0.0,,42970.4,"{""validator_failure"": 1}",C:\Users\Couch\Documents\Claude\Projects\Home of Claude - MSI Auto Project\orchestrator_contracts\local_model_operation_scores_2026-06-07.json,Domain score from deterministic fixture validator.
operation_domain,gemma4:e4b,ollama_http,operations_first_pack_2026-06-07,memory_context_management,1,0,0.0,,20084.0,"{""validator_failure"": 1}",C:\Users\Couch\Documents\Claude\Projects\Home of Claude - MSI Auto Project\orchestrator_contracts\local_model_operation_scores_2026-06-07.json,Domain score from deterministic fixture validator.
operation_domain,gemma4:e4b,ollama_http,operations_first_pack_2026-06-07,model_to_model_orchestration,1,0,0.0,,26034.6,"{""validator_failure"": 1}",C:\Users\Couch\Documents\Claude\Projects\Home of Claude - MSI Auto Project\orchestrator_contracts\local_model_operation_scores_2026-06-07.json,Domain score from deterministic fixture validator.
